datetime,Global_active_power,Global_intensity,Global_reactive_power,Voltage
2010-01-01,0.8501749999999991,3.5370833333332903,0.11481666666666665,242.56572222222184
2010-01-02,1.1762347222222223,4.857777777777792,0.08665555555555529,243.6317430555554
2010-01-03,0.901894444444445,3.7577777777777763,0.09033055555555522,241.82277777777747
2010-01-04,1.1718333333333342,4.879027777777774,0.10032222222222202,241.75415972222223
2010-01-05,0.9167763888888883,3.929861111111109,0.13369722222222227,240.6471666666664
2010-01-06,0.8812249999999994,3.7181944444444412,0.0951180555555553,240.54027777777807
2010-01-07,0.9368069444444453,4.051944444444437,0.20031388888888887,239.31421527777752
2010-01-08,0.3858777777777773,1.720555555555538,0.12811805555555594,239.8013055555556
2010-01-09,1.1064708333333326,4.691666666666662,0.1251250000000001,241.26284027777822
2010-01-10,1.0450138888888896,4.3726388888888845,0.10957222222222232,240.8019791666666
2010-01-11,0.9605416666666662,3.9376388888889,0.12992083333333343,246.37959722222197
2010-01-12,0,0,0,0
2010-01-13,0,0,0,0
2010-01-14,2.075463087248319,8.68255033557047,0.2357785234899329,243.58436241610738
2010-01-15,1.525527777777778,6.335000000000027,0.15159027777777762,243.72576388888905
2010-01-16,1.4931333333333343,6.219722222222231,0.1684152777777778,243.04523611111134
2010-01-17,1.323997222222224,5.521527777777763,0.13124027777777753,242.54300694444473
2010-01-18,1.3063180555555567,5.421527777777795,0.13317500000000002,243.63636805555518
2010-01-19,1.6899361111111084,7.0045833333333345,0.11232916666666662,243.02311111111112
2010-01-20,1.6331444444444454,6.810694444444453,0.13879166666666676,242.76043749999985
2010-01-21,1.4846222222222214,6.161944444444441,0.128763888888889,242.9512500000001
2010-01-22,1.2434902777777788,5.183194444444437,0.10892916666666647,241.85017361111147
2010-01-23,1.8127241139680335,7.665323141070164,0.1809284225156364,240.82836692147296
2010-01-24,1.5759861111111146,6.60513888888889,0.12169305555555597,241.74617361111103
2010-01-25,1.3406319444444432,5.550000000000021,0.10255138888888882,242.8986111111115
